City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokwe,-24.5333,32.9833,23.15,89,21,4.77,MZ,1675717707
1,hobart,-42.8794,147.3294,15.03,72,20,1.03,AU,1675717652
2,atuona,-9.8,-139.0333,25.61,76,5,6.54,PF,1675717707
3,nevel,56.0209,29.9284,-1.73,98,100,2.26,RU,1675717708
4,avarua,-21.2078,-159.775,29.03,84,97,4.12,CK,1675717708
5,necochea,-38.5473,-58.7368,21.06,46,29,8.12,AR,1675717708
6,kavieng,-2.5744,150.7967,27.32,80,100,5.13,PG,1675717709
7,albany,42.6001,-73.9662,2.72,70,88,3.54,US,1675717709
8,tuljapur,18.0,76.0833,22.49,28,8,2.25,IN,1675717709
9,jamestown,42.097,-79.2353,-1.1,93,100,2.57,US,1675717654
10,port blair,11.6667,92.75,25.41,81,26,2.29,IN,1675717710
11,beringovskiy,63.05,179.3167,-28.97,94,95,3.79,RU,1675717536
12,tuktoyaktuk,69.4541,-133.0374,-37.91,99,26,1.43,CA,1675717710
13,mahebourg,-20.4081,57.7,25.7,77,47,6.62,MU,1675717689
14,lebu,-37.6167,-73.65,16.9,71,0,8.6,CL,1675717711
15,vaini,-21.2,-175.2,26.35,73,100,2.1,TO,1675717702
16,isangel,-19.55,169.2667,30.06,79,75,1.03,VU,1675717711
17,busselton,-33.65,115.3333,19.21,76,97,5.22,AU,1675717712
18,hasaki,35.7333,140.8333,6.23,56,100,2.19,JP,1675717712
19,nikolskoye,59.7035,30.7861,-2.06,96,94,1.57,RU,1675717712
20,tarumovka,44.0761,46.5361,-0.92,96,100,5.22,RU,1675717713
21,rikitea,-23.1203,-134.9692,25.87,74,60,3.37,PF,1675717713
22,mogadishu,2.0371,45.3438,25.04,86,85,8.43,SO,1675717539
23,avera,33.194,-82.5271,19.75,36,0,0.3,US,1675717714
24,punta arenas,-53.15,-70.9167,17.01,63,75,8.75,CL,1675717415
25,pedasi,7.5333,-80.0333,32.81,72,2,6.46,PA,1675717714
26,shenzhen,22.5455,114.0683,20.47,93,82,1.47,CN,1675717714
27,kodiak,57.79,-152.4072,2.73,60,0,2.06,US,1675717715
28,cabo san lucas,22.8909,-109.9124,27.61,44,0,5.14,MX,1675717597
29,mataura,-46.1927,168.8643,19.27,52,63,4.72,NZ,1675717686
30,sao joao da barra,-21.6403,-41.0511,28.05,91,97,1.43,BR,1675717507
31,hilo,19.7297,-155.09,26.27,89,75,2.06,US,1675717715
32,osypenko,46.9136,36.8253,-3.37,72,99,8.53,UA,1675717716
33,luderitz,-26.6481,15.1594,18.15,91,8,6.43,NA,1675717716
34,pandan,14.0453,124.1694,24.56,90,84,3.78,PH,1675717716
35,marsa matruh,31.3525,27.2453,11.22,73,100,6.19,EG,1675717717
36,tasiilaq,65.6145,-37.6368,-9.91,91,99,1.72,GL,1675717717
37,vardo,70.3705,31.1107,-0.01,93,75,9.26,NO,1675717619
38,santa flavia,38.085,13.5351,7.85,59,100,2.52,IT,1675717718
39,hermanus,-34.4187,19.2345,22.11,91,12,3.09,ZA,1675717718
40,roald,62.5833,6.1333,9.08,71,75,7.72,NO,1675717719
41,shetpe,44.1667,52.1167,2.47,78,100,4.09,KZ,1675717720
42,souillac,-20.5167,57.5167,25.8,81,74,6.0,MU,1675717720
43,lorengau,-2.0226,147.2712,25.46,93,100,4.59,PG,1675717721
44,saint george,37.1041,-113.5841,11.35,39,100,3.13,US,1675717606
45,semnan,35.5729,53.3971,6.63,41,96,1.82,IR,1675717721
46,vao,-22.6667,167.4833,25.84,70,40,7.26,NC,1675717721
47,east london,-33.0153,27.9116,24.24,84,1,8.11,ZA,1675717722
48,suamico,44.6319,-88.0393,3.2,76,0,6.69,US,1675717722
49,kapaa,22.0752,-159.319,26.18,81,40,7.2,US,1675717455
50,chaohu,31.6,117.8667,8.18,94,100,1.69,CN,1675717722
51,pokhara,28.2333,83.9833,13.63,65,87,0.28,NP,1675717581
52,komsomolskiy,40.4272,71.7189,1.4,93,61,2.06,UZ,1675717723
53,bluff,-46.6,168.3333,14.45,87,85,10.92,NZ,1675717723
54,pacific grove,36.6177,-121.9166,15.23,63,0,3.6,US,1675717519
55,la ronge,55.1001,-105.2842,-8.53,84,100,5.98,CA,1675717724
56,esperance,-33.8667,121.9,19.35,91,0,6.0,AU,1675717724
57,tubuala,9.5167,-79.0333,26.33,82,29,5.57,PA,1675717724
58,dikson,73.5069,80.5464,-28.92,100,100,2.7,RU,1675717725
59,thompson,55.7435,-97.8558,-7.91,79,100,5.14,CA,1675717717
60,olenegorsk,68.15,33.3,-5.05,85,100,5.92,RU,1675717725
61,new norfolk,-42.7826,147.0587,14.84,63,0,0.89,AU,1675717725
62,sterling,39.0062,-77.4286,9.49,55,100,8.05,US,1675717533
63,boa vista,2.8197,-60.6733,28.99,61,75,4.63,BR,1675717308
64,imbituba,-28.24,-48.6703,25.3,71,36,2.12,BR,1675717726
65,show low,34.2542,-110.0298,0.6,87,75,2.57,US,1675717726
66,arraial do cabo,-22.9661,-42.0278,26.92,74,75,1.54,BR,1675717726
67,longyearbyen,78.2186,15.6401,-2.09,93,100,15.95,SJ,1675717450
68,pavilosta,56.8879,21.1859,0.95,87,48,3.12,LV,1675717727
69,garowe,8.4054,48.4845,20.69,72,41,6.09,SO,1675717567
70,walvis bay,-22.9575,14.5053,18.94,84,51,0.76,NA,1675717727
71,carnarvon,-24.8667,113.6333,24.14,70,0,8.6,AU,1675717728
72,cape town,-33.9258,18.4232,21.73,87,20,5.14,ZA,1675717504
73,port alfred,-33.5906,26.891,23.73,91,100,0.69,ZA,1675717728
74,te anau,-45.4167,167.7167,13.76,87,98,3.5,NZ,1675717719
75,coihaique,-45.5752,-72.0662,18.97,42,0,4.63,CL,1675717729
76,vathi,38.4,23.6,3.66,83,100,6.02,GR,1675717729
77,konevo,62.1215,39.3192,-12.76,98,88,2.02,RU,1675717729
78,fez,34.0372,-4.9998,7.14,75,0,3.09,MA,1675717730
79,trujillo,-8.116,-79.03,24.98,73,75,2.57,PE,1675717730
80,flinders,-34.5833,150.8552,22.32,87,85,0.89,AU,1675717730
81,ushuaia,-54.8,-68.3,11.79,97,100,0.74,AR,1675717731
82,cockburn town,21.4612,-71.1419,26.98,65,40,5.66,TC,1675717731
83,torbay,47.6666,-52.7314,3.65,96,100,4.12,CA,1675717731
84,constitucion,-35.3333,-72.4167,20.82,64,23,6.67,CL,1675717560
85,gualaquiza,-3.4,-78.55,22.46,84,93,1.11,EC,1675717732
86,ayagoz,47.9714,80.4392,-6.11,97,97,2.73,KZ,1675717732
